time,detector,speed,veh_count
2021-05-11 03:00:00,Chestnut_USD2-1-EB,20.0,1.0
2021-05-11 03:30:00,Chestnut_USD2-1-EB,20.0,3.0
2021-05-11 04:15:00,Chestnut_USD2-1-EB,25.333333333333332,3.0
2021-05-11 04:45:00,Chestnut_USD2-1-EB,18.5,2.0
2021-05-11 05:00:00,Chestnut_USD2-1-EB,30.666666666666668,3.0
2021-05-11 05:15:00,Chestnut_USD2-1-EB,24.25,4.0
2021-05-11 05:30:00,Chestnut_USD2-1-EB,18.6,5.0
2021-05-11 05:45:00,Chestnut_USD2-1-EB,12.9,10.0
2021-05-11 06:00:00,Chestnut_USD2-1-EB,19.5,4.0
2021-05-11 06:15:00,Chestnut_USD2-1-EB,22.0,12.0
2021-05-11 06:30:00,Chestnut_USD2-1-EB,22.136363636363637,22.0
2021-05-11 06:45:00,Chestnut_USD2-1-EB,20.393939393939394,33.0
2021-05-11 07:00:00,Chestnut_USD2-1-EB,19.636363636363637,33.0
2021-05-11 07:15:00,Chestnut_USD2-1-EB,21.29268292682927,41.0
2021-05-11 07:30:00,Chestnut_USD2-1-EB,17.81967213114754,61.0
2021-05-11 07:45:00,Chestnut_USD2-1-EB,15.744186046511627,86.0
2021-05-11 08:00:00,Chestnut_USD2-1-EB,16.879518072289155,83.0
2021-05-11 08:15:00,Chestnut_USD2-1-EB,15.554054054054054,74.0
2021-05-11 08:30:00,Chestnut_USD2-1-EB,17.942857142857143,70.0
2021-05-11 08:45:00,Chestnut_USD2-1-EB,15.902439024390244,41.0
2021-05-11 09:00:00,Chestnut_USD2-1-EB,16.227272727272727,44.0
2021-05-11 09:15:00,Chestnut_USD2-1-EB,15.24,50.0
2021-05-11 09:30:00,Chestnut_USD2-1-EB,15.256410256410257,39.0
2021-05-11 09:45:00,Chestnut_USD2-1-EB,18.146341463414632,41.0
2021-05-11 10:00:00,Chestnut_USD2-1-EB,18.342105263157894,38.0
2021-05-11 10:15:00,Chestnut_USD2-1-EB,15.025641025641026,39.0
2021-05-11 10:30:00,Chestnut_USD2-1-EB,20.61111111111111,54.0
2021-05-11 10:45:00,Chestnut_USD2-1-EB,17.2,30.0
2021-05-11 11:00:00,Chestnut_USD2-1-EB,16.96875,32.0
2021-05-11 11:15:00,Chestnut_USD2-1-EB,17.933333333333334,30.0
2021-05-11 11:30:00,Chestnut_USD2-1-EB,16.84,25.0
2021-05-11 11:45:00,Chestnut_USD2-1-EB,15.551020408163266,49.0
2021-05-11 12:00:00,Chestnut_USD2-1-EB,16.966666666666665,30.0
2021-05-11 12:15:00,Chestnut_USD2-1-EB,12.631578947368421,38.0
2021-05-11 12:30:00,Chestnut_USD2-1-EB,16.682926829268293,41.0
2021-05-11 12:45:00,Chestnut_USD2-1-EB,16.487179487179485,39.0
2021-05-11 13:00:00,Chestnut_USD2-1-EB,16.093023255813954,43.0
2021-05-11 13:15:00,Chestnut_USD2-1-EB,16.46511627906977,43.0
2021-05-11 13:30:00,Chestnut_USD2-1-EB,17.25925925925926,27.0
2021-05-11 13:45:00,Chestnut_USD2-1-EB,16.13953488372093,43.0
2021-05-11 14:00:00,Chestnut_USD2-1-EB,16.607142857142858,28.0
2021-05-11 14:15:00,Chestnut_USD2-1-EB,15.535714285714286,28.0
2021-05-11 14:30:00,Chestnut_USD2-1-EB,15.382352941176471,34.0
2021-05-11 14:45:00,Chestnut_USD2-1-EB,15.655172413793103,29.0
2021-05-11 15:00:00,Chestnut_USD2-1-EB,15.891891891891891,37.0
2021-05-11 15:15:00,Chestnut_USD2-1-EB,14.176470588235293,34.0
2021-05-11 15:30:00,Chestnut_USD2-1-EB,14.352941176470589,34.0
2021-05-11 15:45:00,Chestnut_USD2-1-EB,16.863636363636363,44.0
2021-05-11 16:00:00,Chestnut_USD2-1-EB,18.434782608695652,23.0
2021-05-11 16:15:00,Chestnut_USD2-1-EB,13.631578947368421,19.0
2021-05-11 16:30:00,Chestnut_USD2-1-EB,18.363636363636363,22.0
2021-05-11 16:45:00,Chestnut_USD2-1-EB,17.88235294117647,34.0
2021-05-11 17:00:00,Chestnut_USD2-1-EB,13.631578947368421,19.0
2021-05-11 17:15:00,Chestnut_USD2-1-EB,15.733333333333333,30.0
2021-05-11 17:30:00,Chestnut_USD2-1-EB,18.4,25.0
2021-05-11 17:45:00,Chestnut_USD2-1-EB,17.393939393939394,33.0
